"type_1_npi","life_science_firm_name","product_name","nature_of_payment","year","amount"
"1558439877","CSL BEHRING","KCENTRA","Food and Beverage","2017","125"
"1679594899","BIOHAVEN PHARMACEUTICALS, INC.","NURTEC ODT","Food and Beverage","2021","155.09"
"1710966718","BOSTON SCIENTIFIC CORPORATION","WATCHMAN","Food and Beverage","2018","42.9"
"1609850486","DEXCOM, INC.","DEXCOM G5 MOBILE CGM SYSTEM","Food and Beverage","2017","16.66"
"1437120920","AMARIN PHARMA INC.","VASCEPA","Education","2019","5.9"
"1235343187","VALEANT PHARMACEUTICALS NORTH AMERICA LLC","PROLENSA","Food and Beverage","2016","21.3"
"1790492056","MEDTRONIC, INC.","HAWKONE","Food and Beverage","2022","167.3"
"1376004705","EMD SERONO, INC.","","Food and Beverage","2022","21.9"
"1497039416","AVANIR PHARMACEUTICALS, INC.","NUEDEXTA","Food and Beverage","2021","34.15"
"1275953564","GEN-PROBE, INC.","APTIMA","Food and Beverage","2021","102.14"
"1376604496","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","TRADJENTA","Food and Beverage","2016","11.15"
"1215165543","E.R. SQUIBB & SONS, L.L.C.","ELIQUIS","Food and Beverage","2020","29.64"
"1821207432","NOVO NORDISK INC","WEGOVY","Food and Beverage","2021","16.23"
"1336162064","TAKEDA PHARMACEUTICALS AMERICA, INC.","VYVANSE","Food and Beverage","2021","42.449997"
"1174615116","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","STIOLTO RESPIMAT","Food and Beverage","2019","18.92"
"1346222890","ASTELLAS PHARMA INC","MYRBETRIQ","Food and Beverage","2020","15.9"
"1659555134","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","JARDIANCE","Travel and Lodging","2019","1229.45"
"1124279443","DEPUY SYNTHES PRODUCTS, INC.","EXPEDIUM","Food and Beverage","2017","106.77"
"1962404830","HOLLISTER INCORPORATED","FASTCAST","Food and Beverage","2016","11.57"
"1780687970","MEDTRONIC, INC.","","Grant","2022","25000"
"1932175999","SCILEX PHARMACEUTICALS INC.","ZTLIDO 30 POUCH IN 1 CARTON 1 PATCH IN 1 POUCH","Food and Beverage","2019","14.23"
"1528078714","MERCK SHARP & DOHME CORPORATION","ZOSTAVAX","Food and Beverage","2017","11.13"
"1487833505","ALEXION PHARMACEUTICALS, INC.","SOLIRIS","Food and Beverage","2018","48.11"
"1326650698","MEDTRONIC, INC.","","Education","2023","45"
"1013901107","HOLOGIC, LLC","MYOSURE TISSUE REMOVAL DEVICE","Food and Beverage","2022","38.84"
"1447238670","E.R. SQUIBB & SONS, L.L.C.","DAKLINZA","Food and Beverage","2016","42.3"
"1245546092","CRANIAL TECHNOLOGIES, INC","DOC BAND","Food and Beverage","2022","121.51"
"1538462999","E.R. SQUIBB & SONS, L.L.C.","POMALYST","Food and Beverage","2023","117.6"
"1114134327","PENUMBRA, INC.","INDIGO","Food and Beverage","2016","98.14"
"1538299862","AMGEN INC.","ENBREL","Food and Beverage","2017","86.869995"
"1578954665","E.R. SQUIBB & SONS, L.L.C.","","Food and Beverage","2018","45.53"
"1871706978","ARRAY BIOPHARMA INC.","BRAFTOVI","Food and Beverage","2021","11.68"
"1619488061","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","139.16"
"1932279007","MERCK SHARP & DOHME CORPORATION","JANUVIA","Food and Beverage","2016","50.690002"
"1174777072","CATALYST PHARMACEUTICALS, INC.","FYCOMPA","Food and Beverage","2023","63.19"
"1245295419","AVION PHARMACEUTICALS","DIVIGEL","Food and Beverage","2022","13.54"
"1134763840","EXACT SCIENCES CORPORATION","COLOGUARD COLLECTION KIT","Food and Beverage","2023","141.65"
"1225186257","VIIV HEALTHCARE COMPANY","APRETUDE","Food and Beverage","2022","151.43"
"1578911616","PFIZER INC.","IBRANCE","Food and Beverage","2022","14.54"
"1386644938","TAKEDA PHARMACEUTICALS AMERICA, INC.","TRINTELLIX","Food and Beverage","2016","1.71"
"1679519292","BOSTON SCIENTIFIC CORPORATION","","Food and Beverage","2023","13.39"
"1336109073","PHADIA US INC.","IMMUNOCAP","Food and Beverage","2018","20.01"
"1851826390","AMGEN INC.","OTEZLA","Food and Beverage","2022","17.66"
"1306021266","AVION PHARMACEUTICALS","BALCOLTRA","Food and Beverage","2020","24"
"1063654374","MEDARTIS INC.","APTUS","Food and Beverage","2016","231.07"
"1457382939","MERCK SHARP & DOHME CORPORATION","","Food and Beverage","2023","17.78"
"1538107727","ALEXION PHARMACEUTICALS, INC.","SOLIRIS","Food and Beverage","2018","13.9"
"1760675714","ELI LILLY AND COMPANY","BAQSIMI","Food and Beverage","2021","15.65"
"1578557153","E.R. SQUIBB & SONS, L.L.C.","ELIQUIS","Food and Beverage","2020","12.55"
"1740324086","ABBVIE, INC.","ORILISSA","Food and Beverage","2020","42.059998"
"1912982018","PFIZER INC.","CHANTIX","Food and Beverage","2017","39.54"
"1588750921","KALEO, INC.","AUVI-Q","Food and Beverage","2019","42.05"
"1053843953","ORGANON LLC","NEXPLANON","Food and Beverage","2022","19.36"
"1598774390","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","SPIRIVA RESPIMAT","Food and Beverage","2018","92.81"
"1912677048","NOVARTIS PHARMACEUTICALS CORPORATION","ENTRESTO","Food and Beverage","2022","25.14"
"1902980527","BIOTRONIK INC.","SOLIA","Food and Beverage","2016","131.66"
"1811972920","E.R. SQUIBB & SONS, L.L.C.","ELIQUIS","Travel and Lodging","2017","749.04004"
"1356363618","SANOFI-AVENTIS U.S. LLC","PRALUENT","Food and Beverage","2016","5.92"
"1376644344","SYNERGY PHARMACEUTICALS INC","TRULANCE","Food and Beverage","2018","10.52"
"1376074161","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","53.82"
"1508489238","GC AMERICA INC.","EQUIA FORTE HT","Food and Beverage","2020","12.08"
"1922180322","IRONSHORE PHARMACEUTICALS INC.","JORNAY PM","Food and Beverage","2023","37.48"
"1154563591","ABBVIE, INC.","UBRELVY","Food and Beverage","2023","108.26"
"1285941310","MANNKIND CORPORATION","AFREZZA","Food and Beverage","2018","15.46"
"1124073614","NEOS THERAPEUTICS, LP","ADZENYS XR-ODT","Food and Beverage","2023","21.43"
"1760037394","NESTLE HEALTHCARE NUTRITION INC.","ZENPEP","Food and Beverage","2021","14.28"
"1497799456","KOWA COMPANY, LTD.","LIVALO","Food and Beverage","2019","32.46"
"1104835354","ABBVIE, INC.","HUMIRA","Food and Beverage","2016","292.43"
"1396900023","ATRICURE, INC.","EPI-SENSE GUIDED COAGULATION SYSTEM WITH VISITRAX","Food and Beverage","2021","12.42"
"1811972300","CONCORDIA PHARMACEUTICALS INC.","DONNATAL","Food and Beverage","2017","15.61"
"1366935587","ALLERGAN INC.","RESTASIS MULTIDOSE","Food and Beverage","2021","13.29"
"1144325655","VALEANT PHARMACEUTICALS NORTH AMERICA LLC","ULTRA","Food and Beverage","2017","15.36"
"1164477816","AMGEN INC.","EVENITY","Food and Beverage","2019","24.5"
"1679537021","ENDO PHARMACEUTICALS INC.","AVEED","Food and Beverage","2016","27.5"
"1659790624","BIOGEN, INC.","TECFIDERA","Food and Beverage","2020","16.93"
"1659579274","EDWARDS LIFESCIENCES CORPORATION","EDWARDS SAPIEN 3 ULTRA TRANSCATHETER HEART VALVE","Food and Beverage","2022","219.17"
"1184626483","MEDTRONIC, INC.","MYCARELINK","Food and Beverage","2017","13"
"1750387791","GILEAD SCIENCES, INC.","ODEFSEY","Food and Beverage","2016","110.52"
"1588156236","QIAGEN, LLC","QUANTIFERON-TB GOLD PLUS","Food and Beverage","2023","20.26"
"1780687954","SUMITOMO PHARMA CO., LTD.","GEMTESA","Food and Beverage","2023","12.18"
"1265800999","ABBOTT LABORATORIES","CARDIOMEMS","Food and Beverage","2022","102.62"
"1104486489","AERIE PHARMACEUTICALS, INC.","RHOPRESSA","Food and Beverage","2019","122.82"
"1831359819","AMGEN INC.","PROLIA","Food and Beverage","2018","22"
"1811163058","W. L. GORE & ASSOCIATES, INC.","BIO-A TISSUE REINFORCEMENT","Travel and Lodging","2016","97.2"
"1306841838","ABB CON-CISE OPTICAL GROUP LLC","CONTACT LENS","Food and Beverage","2020","12.34"
"1174544274","AMARIN PHARMA INC.","VASCEPA","Food and Beverage","2017","13.46"
"1053398339","ASTRAZENECA PHARMACEUTICALS LP","FASENRA","Food and Beverage","2022","42.78"
"1134198740","GRT US HOLDING, INC.","QUTENZA","Food and Beverage","2022","81.37"
"1922127414","TAKEDA PHARMACEUTICALS AMERICA, INC.","NESINA","Food and Beverage","2016","43.09"
"1114184637","WELCH ALLYN","","Gift","2018","79.49"
"1427020882","ELI LILLY AND COMPANY","EMGALITY","Food and Beverage","2022","14.45"
"1164402707","GLOBUS MEDICAL, INC.","ALTERA","Food and Beverage","2019","99.35"
"1508818048","ZOLL SERVICES LLC (A/K/A ZOLL LIFECOR CORP)","LIFEVEST","Food and Beverage","2018","6.32"
"1326070731","AMGEN INC.","EVENITY","Food and Beverage","2021","43.38"
"1245276914","ALIGN TECHNOLOGY, INC.","ITERO ELEMENT 5D PLUS","Food and Beverage","2023","66.24"
"1659312536","TACTILE SYSTEMS TECHNOLOGY INC","FLEXITOUCH PLUS","Food and Beverage","2021","16.46"
"1043206964","ABBVIE, INC.","RINVOQ","Food and Beverage","2022","262.74"
"1316957574","MELINTA THERAPEUTICS, INC.","ORBACTIV","Food and Beverage","2020","13.73"
"1184841470","MEDTRONIC, INC.","ARCTIC FRONT","Food and Beverage","2018","158.64"
"1720068430","ASTRAZENECA PHARMACEUTICALS LP","MOVANTIK","Food and Beverage","2016","14.03"
"1417351263","ABBVIE, INC.","BOTOX","Food and Beverage","2022","35.34"
"1376530923","RHODES PHARMACEUTICALS L.P.","APTENSIO XR","Food and Beverage","2016","14.03"
"1740580935","SUPERNUS PHARMACEUTICALS, INC.","OXTELLAR XR","Food and Beverage","2021","19.17"
"1336188523","GLAXOSMITHKLINE, LLC.","BEXSERO","Food and Beverage","2017","11.97"
"1023294527","ORGANON LLC","NEXPLANON","Food and Beverage","2023","23.26"
"1255321683","GILEAD SCIENCES, INC.","","Food and Beverage","2017","96.700005"
"1275517567","ARBOR PHARMACEUTICALS, INC.","EVEKEO","Food and Beverage","2016","14.19"
"1174564157","DEPUY SYNTHES PRODUCTS, INC.","TELIGEN","Food and Beverage","2023","15.89"
"1093779845","GLAXOSMITHKLINE, LLC.","BREO","Food and Beverage","2017","80.12"
"1427132422","INDIVIOR INC.","SUBOXONE SUBLINGUAL FILM","Food and Beverage","2016","14.82"
"1467594960","OTSUKA AMERICA PHARMACEUTICAL, INC.","ABILIFY MAINTENA","Food and Beverage","2022","36.23"
"1649266297","ASTRAZENECA PHARMACEUTICALS LP","AIRSUPRA","Food and Beverage","2023","72.68"
"1801239835","DEXCOM, INC.","DEXCOM G6 TRANSMITTER","Food and Beverage","2022","125"
"1326066648","COOK INCORPORATED","COOK MEDICAL GENERAL SURGERY","Food and Beverage","2017","19.13"
"1336145762","TAKEDA PHARMACEUTICALS AMERICA, INC.","","Food and Beverage","2017","10.11"
"1285705012","ZIMMER BIOMET HOLDINGS, INC.","DIEM2","Food and Beverage","2016","13.29"
"1538194352","HOLOGIC, LLC","THINPREP 2000 PROCESSOR","Food and Beverage","2021","15.98"
"1467459180","AMGEN INC.","SENSIPAR","Food and Beverage","2016","17.79"
"1134547037","ASTRAZENECA PHARMACEUTICALS LP","LYNPARZA","Food and Beverage","2017","105.16"
"1982018776","OLYMPUS CORPORATION","ITIND SYSTEM","Food and Beverage","2021","20.81"
"1811550759","JANSSEN PHARMACEUTICALS, INC","TREMFYA","Food and Beverage","2023","291.68"
"1609842640","MERCK SHARP & DOHME CORPORATION","ZERBAXA","Food and Beverage","2018","235.48"
"1215692629","GENENTECH, INC.","TECENTRIQ","Food and Beverage","2022","25.68"
"1912354242","NOVO NORDISK INC","OZEMPIC","Food and Beverage","2022","108.93"
"1457613838","MERCK SHARP & DOHME CORPORATION","ENTEREG","Food and Beverage","2017","119.15"
"1104925171","JAZZ PHARMACEUTICALS INC.","EPIDIOLEX","Food and Beverage","2022","30.72"
"1942305461","ABBOTT LABORATORIES","PROCLAIM","Food and Beverage","2022","250.59"
"1548348089","JANSSEN PHARMACEUTICALS, INC","STELARA","Food and Beverage","2016","30.060001"
"1508905837","ABBVIE, INC.","","Food and Beverage","2021","49.34"
"1306820139","JANSSEN PHARMACEUTICALS, INC","REMICADE","Food and Beverage","2016","23.5"
"1932289329","LUNDBECK LLC","REXULTI","Food and Beverage","2021","13.31"
"1184674178","MERCK SHARP & DOHME CORPORATION","PNEUMOVAX 23","Food and Beverage","2022","14.28"
"1366403990","STRYKER CORPORATION","ANCHOR C","Food and Beverage","2017","28.34"
"1689632523","ABBOTT LABORATORIES","CONFIRM RX","Food and Beverage","2021","17.24"
"1932221306","BIOGEN, INC.","TECFIDERA","Food and Beverage","2018","13.4"
"1336597079","ALCON VISION LLC","DAILIES","Travel and Lodging","2020","496.35"
"1518919091","AMGEN INC.","EVENITY","Food and Beverage","2020","17.68"
"1932558350","ALCON VISION LLC","TOTAL30","Food and Beverage","2023","75.4"
"1750440848","TRAVERE THERAPEUTICS, INC.","","Food and Beverage","2022","44.850002"
"1427204833","HENRY SCHEIN, INC.","","Food and Beverage","2017","20"
"1457415390","MERCK SHARP & DOHME CORPORATION","VAXELIS","Food and Beverage","2023","16.92"
"1861441933","ALLERGAN INC.","BOTOX THERAPEUTIC","Food and Beverage","2018","113.64"
"1467436139","DAIICHI SANKYO INC.","INJECTAFER","Food and Beverage","2022","24.57"
"1376500819","SHIRE NORTH AMERICAN GROUP INC","VYVANSE","Food and Beverage","2018","14.8"
"1467770925","ABBOTT LABORATORIES","OPTIS CORONARY IMAGING SYSTEM","Food and Beverage","2021","24.82"
"1316987761","UCB, INC.","VIMPAT","Food and Beverage","2019","165.45"
"1740280221","TAKEDA PHARMACEUTICALS AMERICA, INC.","AMITIZA","Food and Beverage","2016","17.07"
"1821135955","AMERICAN ORTHODONTICS CORPORATION","EMPOWER-METAL","Food and Beverage","2020","287.04"
"1528354008","MERCK SHARP & DOHME CORPORATION","NEXPLANON","Food and Beverage","2018","3.71"
"1225060551","GLAUKOS CORPORATION","ISTENT TRABECULAR MICRO-BYPASS STENT SYSTEM","Food and Beverage","2017","68.05"
"1023041688","ALLERGAN INC.","LO LOESTRIN FE","Food and Beverage","2019","52.56"
"1750334389","ALLERGAN INC.","BOTOX-NEUROLOGY","Food and Beverage","2017","142.26"
"1528116365","SANOFI-AVENTIS U.S. LLC","SOLIQUA","Food and Beverage","2017","10.91"
"1548271406","INSMED, INC.","ARIKAYCE","Food and Beverage","2019","13"
"1528008026","GENENTECH USA, INC.","XOLAIR","Food and Beverage","2023","27.34"
"1740279843","SANOFI PASTEUR INC.","NO PRODUCT DISCUSSED","Speaking / Faculty Fee (Non-CME-related)","2016","50"
"1073540803","HOLOGIC, LLC","AHPV","Food and Beverage","2018","13.79"
"1619502218","DEXCOM, INC.","DEXCOM G6 TRANSMITTER","Food and Beverage","2022","426.16998"
"1427336759","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","27.56"
"1568485415","ASTRAZENECA PHARMACEUTICALS LP","LYNPARZA","Food and Beverage","2020","127.53"
"1447392485","GLAXOSMITHKLINE, LLC.","NUCALA","Food and Beverage","2019","43.4"
"1427299387","ABBOTT LABORATORIES","QUADRA ASSURA CRT DEFIBRILLATOR","Food and Beverage","2018","48.05"
"1417912494","BIOVENTUS LLC","","Food and Beverage","2023","28.2"
"1275584344","ABBOTT LABORATORIES","FREESTYLE LIBRE 3","Food and Beverage","2023","17.98"
"1275623894","PURDUE PHARMA L.P.","HYSINGLA ER","Food and Beverage","2016","11.42"
"1164405809","PARATEK PHARMACEUTICALS, INC.","NUZYRA","Food and Beverage","2020","14.39"
"1013960772","AMARIN PHARMA INC.","VASCEPA","Food and Beverage","2020","20.38"
"1386061265","AXONICS, INC.","BULKAMID","Food and Beverage","2023","21.78"
"1942208368","SANOFI-AVENTIS U.S. LLC","TOUJEO","Education","2016","13.5"
"1336322197","DENTSPLY INTERNATIONAL","IMPLANT DENTISTRY","Food and Beverage","2021","12.45"
"1760765804","GILEAD SCIENCES, INC.","","Food and Beverage","2022","37.94"
"1295913630","CRANIAL TECHNOLOGIES, INC","DOC BAND","Food and Beverage","2017","18.74"
"1003898594","HENRY SCHEIN, INC.","CAD/CAM","Food and Beverage","2017","92.18"
"1699790980","ALLERGAN INC.","BOTOX THERAPEUTIC","Food and Beverage","2018","26.369999"
"1699071159","ABBVIE, INC.","HUMIRA","Food and Beverage","2021","17.55"
"1679143036","SMITH & NEPHEW, INC.","GRAFIX PL","Food and Beverage","2022","123.97"
"1518168442","AMGEN INC.","KYPROLIS","Speaking / Faculty Fee (Non-CME-related)","2020","8100"
"1255826061","GLAXOSMITHKLINE, LLC.","NUCALA","Food and Beverage","2021","19.73"
"1124114269","MERCK SHARP & DOHME CORPORATION","DIFICID","Food and Beverage","2019","11.07"
"1114900768","PFIZER INC.","TRUMENBA","Food and Beverage","2017","15.6"
"1174732804","NOVARTIS PHARMACEUTICALS CORPORATION","","Travel and Lodging","2022","341.03998"
"1194290346","JANSSEN PHARMACEUTICALS, INC","DARZALEX","Education","2023","64.99"
"1215995758","ASTRAZENECA PHARMACEUTICALS LP","","Food and Beverage","2017","111.9"
"1558848234","EISAI INC.","LENVIMA","Food and Beverage","2023","42.98"
"1164683074","GENZYME CORPORATION","THYMOGLOBULIN","Food and Beverage","2020","87.34"
"1376643213","MERCK SHARP & DOHME CORPORATION","GARDASIL 9","Food and Beverage","2022","43.01"
"1972816221","DENTSPLY INTERNATIONAL","VORTEX BLUE CONFORM FIT","Food and Beverage","2022","13.23"
"1376515122","NOVARTIS PHARMACEUTICALS CORPORATION","AIMOVIG","Food and Beverage","2020","14.82"
"1952497927","GENENTECH, INC.","ACTEMRA","Food and Beverage","2016","231.99"
"1972517928","TOLMAR, INC.","ELIGARD","Food and Beverage","2019","119.14"
"1700067576","ETHICON INC.","ULTRA VAC","Food and Beverage","2021","16.36"
"1609839091","ASTRAZENECA PHARMACEUTICALS LP","BRILINTA","Food and Beverage","2017","31.68"
"1750470837","MANNKIND CORPORATION","AFREZZA","Food and Beverage","2023","130.44"
"1962433136","SOBI, INC","KINERET","Food and Beverage","2021","27.22"
"1568458743","AMARIN PHARMA INC.","VASCEPA","Education","2019","5.9"
"1609867233","ELI LILLY AND COMPANY","JARDIANCE","Travel and Lodging","2017","245.13"
"1003845249","SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC","TRULANCE","Food and Beverage","2021","64.17"
"1598889461","TULSA DENTAL PRODUCTS LLC","ENDODONTIC DENTISTRY","Education","2018","21.61"
"1184688939","HORIZON THERAPEUTICS PLC","DUEXIS","Food and Beverage","2016","10.7"
"1396006946","SANOFI-AVENTIS U.S. LLC","SOLIQUA","Food and Beverage","2018","13.08"
"1598141715","JANSSEN PHARMACEUTICALS, INC","SPRAVATO","Food and Beverage","2021","16.94"
"1912151184","AVION PHARMACEUTICALS","PRENATE MINI","Food and Beverage","2016","33.82"
"1649581745","BIOHAVEN PHARMACEUTICALS, INC.","NURTEC ODT","Food and Beverage","2021","92.44"
"1972514461","NOVO NORDISK INC","VICTOZA","Food and Beverage","2016","38.809998"
"1467855973","DAIICHI SANKYO INC.","INJECTAFER","Food and Beverage","2017","20.48"
"1437198603","OSPREY MEDICAL INC","DYEVERT","Food and Beverage","2016","70.85"
"1487651873","GENENTECH USA, INC.","EVRYSDI","Food and Beverage","2023","36.53"
"1629584099","ABBOTT LABORATORIES","HEARTMATE TOUCH","Food and Beverage","2022","17.13"
"1255309787","ASTRAZENECA PHARMACEUTICALS LP","SYMBICORT","Food and Beverage","2017","124.98"
"1346827128","IRONSHORE PHARMACEUTICALS INC.","JORNAY PM","Food and Beverage","2023","21.11"
"1881807469","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","16.11"
"1922292093","MERCK SHARP & DOHME CORPORATION","KEYTRUDA","Food and Beverage","2023","18.3"
"1245207729","ASTRAZENECA PHARMACEUTICALS LP","SYNAGIS","Food and Beverage","2018","11.82"
"1083903603","MERIT MEDICAL SYSTEMS INC","","Food and Beverage","2016","18.64"
"1922084748","MEDTRONIC, INC.","SPIDERFX","Food and Beverage","2017","17.14"
"1376823039","MINDRAY DS USA, INC.","A5","Food and Beverage","2022","24.08"
"1306043799","SMITH & NEPHEW, INC.","PICO SINGLE USE NEGATIVE PRESSURE WOUND THERAPY","Food and Beverage","2019","18.8"
"1255501508","GENZYME CORPORATION","AUBAGIO","Food and Beverage","2019","373.58"
"1871685529","GLAXOSMITHKLINE, LLC.","PEDIARIX","Food and Beverage","2020","15.41"
"1265428171","AMARIN PHARMA INC.","VASCEPA","Food and Beverage","2022","21.54"
"1699801464","OPTOS, INC.","CALIFORNIA","Entertainment","2017","92.52"
"1073508164","AERIE PHARMACEUTICALS, INC.","RHOPRESSA","Food and Beverage","2020","90.78"
"1063675114","PFIZER INC.","PREVNAR 20","Food and Beverage","2023","38.29"
"1427022516","TEVA PHARMACEUTICALS USA, INC.","QVAR","Food and Beverage","2018","81.53"
"1639136104","ASTELLAS PHARMA INC","MYRBETRIQ","Food and Beverage","2017","31.39"
"1740440502","CSL BEHRING","HIZENTRA","Food and Beverage","2023","20.48"
"1295309003","COOPERVISION INC.","CLARITI CONTACT LENS","Food and Beverage","2023","31.23"
"1184163594","SMITH+NEPHEW, INC.","ACTICOAT 4"" X 4""","Food and Beverage","2023","113.61"
"1003874801","NOVO NORDISK INC","","Travel and Lodging","2022","2051"
"1811941768","BIOGEN, INC.","TYSABRI","Food and Beverage","2018","232.59999"
"1407276546","NEURELIS, INC.","VALTOCO","Food and Beverage","2021","13.88"
"1750555710","TAKEDA PHARMACEUTICALS AMERICA, INC.","TRINTELLIX","Food and Beverage","2021","41.989998"
"1841716834","ELI LILLY AND COMPANY","TRULICITY","Food and Beverage","2021","14.17"
"1609152123","LUNDBECK LLC","VYEPTI","Food and Beverage","2022","145.48"
"1326396904","ALLERGAN INC.","BOTOX","Food and Beverage","2021","15.02"
"1073585048","ASTRAZENECA PHARMACEUTICALS LP","CALQUENCE","Consulting Fee","2018","1950"
"1437266822","ABBVIE, INC.","CREON","Food and Beverage","2017","108.66"
"1962402479","ALLERGAN INC.","LINZESS","Food and Beverage","2020","13.29"
"1992975056","ABBVIE, INC.","UBRELVY","Food and Beverage","2023","26.27"
"1710955448","ORTHO DEVELOPMENT CORPORATION","BKS TRIMAX","Food and Beverage","2016","97.99"
"1821187188","RETROPHIN, INC.","(815) THIOLA","Food and Beverage","2016","12.43"
"1154770048","STRYKER CORPORATION","ANCHORAGE","Food and Beverage","2018","140.57"
"1821190067","EDWARDS LIFESCIENCES CORPORATION","","Food and Beverage","2018","388.68"
"1508820986","BAYER HEALTHCARE PHARMACEUTICALS INC.","ADEMPAS","Speaking / Faculty Fee (Non-CME-related)","2019","18040"
"1124076955","TAKEDA PHARMACEUTICALS AMERICA, INC.","","Food and Beverage","2020","15.31"
"1952336026","XERIS PHARMACEUTICALS, INC.","GVOKE PFS","Food and Beverage","2021","12.27"
"1528027497","LILLY USA, LLC","EMGALITY","Food and Beverage","2023","22.07"
"1982719092","GLAXOSMITHKLINE, LLC.","PEDIARIX","Food and Beverage","2022","13.15"
"1780978346","PBG PUERTO RICO LLC","ELIQUIS","Food and Beverage","2021","19.62"
"1598079568","AMGEN INC.","AIMOVIG","Food and Beverage","2021","12.23"
"1659785608","ASTRAZENECA PHARMACEUTICALS LP","FASENRA","Food and Beverage","2019","44.82"
"1700039245","ASTRAZENECA PHARMACEUTICALS LP","SYMBICORT","Food and Beverage","2020","106.25"
"1215185442","MEDTRONIC, INC.","AQUAMANTYS","Food and Beverage","2016","123.91"
"1073594834","MERCK SHARP & DOHME CORPORATION","GARDASIL 9","Food and Beverage","2022","30.599998"
"1689174146","SUN PHARMACEUTICAL INDUSTRIES INC.","ABSORICA LD","Food and Beverage","2021","27.41"
"1174749865","MISSION PHARMACAL COMPANY","CITRANATAL","Food and Beverage","2017","28.599998"
"1104859883","LILLY USA, LLC","TRULICITY","Food and Beverage","2023","17.69"
"1972026136","GC AMERICA INC.","GC FUJI AUTOMIX LC","Food and Beverage","2019","10.88"
"1518566025","TEVA PHARMACEUTICALS USA, INC.","AJOVY","Food and Beverage","2022","59.260002"
"1982698288","INCYTE CORPORATION","OPZELURA","Food and Beverage","2022","26.28"
"1184679409","MIDSOUTH ORTHOPEDICS INC.","","Food and Beverage","2022","19.71"
"1679803274","PFIZER INC.","ELIQUIS","Food and Beverage","2018","11.3"
"1437163433","NOBEL BIOCARE USA","NOBELACTIVE","Food and Beverage","2018","16.21"
"1225364821","MERCK SHARP & DOHME CORPORATION","JANUMET","Food and Beverage","2016","22.150002"
"1528116019","DEXCOM, INC.","DEXCOM G6 TRANSMITTER","Food and Beverage","2022","93.21"
"1558310524","GLAXOSMITHKLINE, LLC.","BEXSERO","Food and Beverage","2016","14.39"
"1184679664","TAKEDA PHARMACEUTICALS AMERICA, INC.","ENTYVIO","Food and Beverage","2018","99.61"
"1659994143","MEDTRONIC, INC.","VENASEAL","Food and Beverage","2023","31.71"
"1053491068","GILEAD SCIENCES, INC.","","Food and Beverage","2017","121.11"
"1386893840","ELI LILLY AND COMPANY","TRULICITY","Food and Beverage","2017","129.52"
"1578716262","EISAI INC.","BELVIQ","Food and Beverage","2016","19.87"
"1306998216","ASTRAZENECA PHARMACEUTICALS LP","FARXIGA","Food and Beverage","2021","67.16"
"1992190417","LEO PHARMA INC.","ADBRY","Food and Beverage","2022","56.94"
"1801096284","ITI, INC.","CAPLYTA","Food and Beverage","2020","12.16"
"1477811305","DUCHESNAY USA INCORPORATED","OSPHENA","Food and Beverage","2019","11.36"
"1992158422","ABBVIE, INC.","DALVANCE","Food and Beverage","2023","14.68"
"1114010097","ORGANON LLC","FOLLISTIM AQ","Food and Beverage","2023","116.49"
"1174517403","GILEAD SCIENCES, INC.","EPCLUSA","Speaking / Faculty Fee (Non-CME-related)","2022","6905"
"1083660187","ARTHREX, INC.","","Food and Beverage","2019","136"
"1780811216","NOVO NORDISK INC","OZEMPIC","Food and Beverage","2019","117.78"
"1871737619","COLLEGIUM PHARMACEUTICAL, INC.","XTAMPZA","Food and Beverage","2019","11.91"
"1427013762","MERCK SHARP & DOHME CORPORATION","PNEUMOVAX 23","Food and Beverage","2020","16"
"1043298011","ABBVIE, INC.","QULIPTA","Food and Beverage","2022","48.239998"
"1932175247","ST. JUDE MEDICAL, INC.","MERLIN","Food and Beverage","2016","93.85"
"1326055625","DENTSPLY INTERNATIONAL","DENTAL EQUIPMENT","Food and Beverage","2021","241"
"1932462959","KOWA COMPANY, LTD.","LIVALO","Food and Beverage","2021","15.33"
"1730157660","CARL ZEISS MEDITEC, INC.","FORUM","Consulting Fee","2023","187.5"
"1649464140","SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC","RELISTOR","Food and Beverage","2019","14.37"
"1609438803","ALIGN TECHNOLOGY, INC.","INVISALIGN","Food and Beverage","2021","40.21"
"1497943591","MENTOR WORLDWIDE LLC","ARTOURA BREAST TISSUE EXPANDER","Food and Beverage","2018","60.54"
"1043282627","SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC","XIFAXAN","Food and Beverage","2018","29.69"
"1598144958","ZIMMER BIOMET HOLDINGS, INC.","BELLATEK","Food and Beverage","2016","108.67"
"1376724005","ABBVIE, INC.","DUOPA","Food and Beverage","2017","43.57"
"1396081998","VANDA PHARMACEUTICALS INC.","FANAPT","Travel and Lodging","2023","1538.6599"
